Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify,6762,109,8900.0,12352.725931334919,565.1840950013138,56105.14976899867,3.130582667849749,118.65712239224048,1.9126924490911288,8900,13000,19000,22000,24000,26000,53000,55000,56000,56000,56000
,Aggregated,6762,109,8900.0,12352.725931334919,565.1840950013138,56105.14976899867,3.130582667849749,118.65712239224048,1.9126924490911288,8900,13000,19000,22000,24000,26000,53000,55000,56000,56000,56000
