Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/classify,6266,24,8300.0,13821.088129555972,26.614403999701608,52269.14814200063,2.988509415895308,96.08227621813313,0.36801382528490184,8300,18000,24000,25000,40000,44000,45000,45000,52000,52000,52000
,Aggregated,6266,24,8300.0,13821.088129555972,26.614403999701608,52269.14814200063,2.988509415895308,96.08227621813313,0.36801382528490184,8300,18000,24000,25000,40000,44000,45000,45000,52000,52000,52000
